"ID";"WoonlandVanGasten";"RegioS";"Perioden";"Gasten_1";"Overnachtingen_2"
"3380";"T001047";"GM0363";"2018MM10";"771";"1471"
"3381";"T001047";"GM0363";"2018MM11";"684";"1286"
"3382";"T001047";"GM0363";"2018MM12";"642";"1248"
"3385";"T001047";"GM0363";"2019MM01";"645";"1259"
"3386";"T001047";"GM0363";"2019MM02";"674";"1286"
"3387";"T001047";"GM0363";"2019MM03";"785";"1544"
"3389";"T001047";"GM0363";"2019MM04";"823";"1666"
"3390";"T001047";"GM0363";"2019MM05";"820";"1637"
"3391";"T001047";"GM0363";"2019MM06";"807";"1581"
"3393";"T001047";"GM0363";"2019MM07";"843";"1733"
"3394";"T001047";"GM0363";"2019MM08";"808";"1767"
"3395";"T001047";"GM0363";"2019MM09";"770";"1521"
"3397";"T001047";"GM0363";"2019MM10";"803";"1597"
"3398";"T001047";"GM0363";"2019MM11";"730";"1409"
"3399";"T001047";"GM0363";"2019MM12";"700";"1376"
"3402";"T001047";"GM0363";"2020MM01";"616";"1220"
"3403";"T001047";"GM0363";"2020MM02";"638";"1275"
"3404";"T001047";"GM0363";"2020MM03";"277";"553"
"3406";"T001047";"GM0363";"2020MM04";"13";"30"
"3407";"T001047";"GM0363";"2020MM05";"51";"89"
"7498";"L008691";"GM0363";"2018MM10";"150";"254"
"7499";"L008691";"GM0363";"2018MM11";"143";"244"
"7500";"L008691";"GM0363";"2018MM12";"129";"216"
"7503";"L008691";"GM0363";"2019MM01";"124";"207"
"7504";"L008691";"GM0363";"2019MM02";"125";"213"
"7505";"L008691";"GM0363";"2019MM03";"141";"243"
"7507";"L008691";"GM0363";"2019MM04";"136";"254"
"7508";"L008691";"GM0363";"2019MM05";"144";"258"
"7509";"L008691";"GM0363";"2019MM06";"150";"267"
"7511";"L008691";"GM0363";"2019MM07";"136";"243"
"7512";"L008691";"GM0363";"2019MM08";"131";"249"
"7513";"L008691";"GM0363";"2019MM09";"140";"251"
"7515";"L008691";"GM0363";"2019MM10";"140";"242"
"7516";"L008691";"GM0363";"2019MM11";"135";"230"
"7517";"L008691";"GM0363";"2019MM12";"134";"228"
"7520";"L008691";"GM0363";"2020MM01";"120";"209"
"7521";"L008691";"GM0363";"2020MM02";"124";"224"
"7522";"L008691";"GM0363";"2020MM03";"65";"114"
