Date,Total_Passengers,Passengers_Europe,Passengers_Intercontinential,Passengers_O&D,Passengers_Transfer,Cargo_tonnes,Mail_tonnes
2018-01-01,4908989,3322876,1586113,2897577,2011412,134973.3921,2031.006
2018-02-01,4741806,3316805,1425001,2865512,1876294,133842.0345,1586.452
2018-03-01,5559456,3886460,1672996,3400686,2158770,148542.2606,1962.37
2018-04-01,6016915,4247799,1769116,3918581,2098484,139696.6151,1803.981
2018-05-01,6393936,4617220,1776716,4260452,2133484,144687.825,1643.25
2018-06-01,6377393,4552594,1824799,4081211,2296182,143589.346,1658.154
2018-07-01,6765004,4797829,1967175,4386076,2378928,144359.445,1642.404
2018-08-01,6836668,4820950,2015718,4497488,2339180,146536.988,1673.558
2018-09-01,6396940,4563606,1833334,4073062,2323878,145594.837,1658.056
2018-10-01,6402290,4562671,1839619,4132718,2269572,153063.917,1830.712
2018-11-01,5296943,3700208,1596735,3316203,1980740,143974.442,1923.795
2018-12-01,5260254,3590638,1669616,3163052,2097202,137636.006,2072.716
2019-01-01,4996131,3373101,1623030,2981899,2014232,122643.33,1615.29
2019-02-01,4836332,3383286,1453046,2981844,1854488,115796.74,1398.496
2019-03-01,5630314,3947789,1682525,3571422,2058892,144772.6565,1761.429
2019-04-01,6104010,4314805,1789205,4025536,2078474,126742.6255,1747.362
2019-05-01,6441473,4651471,1790002,4237293,2204180,133647.6921,1859.887
2019-06-01,6502588,4652003,1850585,4159562,2343026,123888.07,1735.721
2019-07-01,6724023,4758165,1965858,4427091,2296932,129143.008,1875.628
2019-08-01,6810759,4804762,2005997,4495169,2315590,130581.21,1774.032
2019-09-01,6493468,4649227,1844241,4153928,2339540,136819.3436,1746.516
2019-10-01,6431443,4600170,1831273,4161063,2270380,143594,1974
2019-11-01,5323590,3713816,1609774,3353744,1969846,136256.124,2133.043
2019-12-01,5386203,3694378,1691825,3259261,2126942,126376.06,2338.263
2020-01-01,5074773,3448900,1625873,3011207,2063566,113080.149,1908.092
2020-02-01,4719769,3329009,1390760,3011143,1708626,116292.773,1491.386
2020-03-01,2476372,1641935,834437,1498230,978142,120480.865,1166.937
2020-04-01,126015,67684,58331,64573,61442,93254.889,381.51727
2020-05-01,207827,131546,76281,103491,104336,104744.96,541.875
2020-06-01,471410,338245,133165,250652,220758,108163.933,855.242
2020-07-01,1338857,1114398,224459,922219,416638,119634.099,1083.386
