Date,België,Duitsland,Frankrijk,Nederland,Overig Azië ,Totaal landen,Verenigd Koninkrijk,Other_Europe,Outside_Europe
2018-10-01,20000,84000,39000,150000,17000,771000,112000,166000,200000
2018-11-01,20000,55000,37000,143000,13000,684000,109000,165000,155000
2018-12-01,21000,60000,41000,129000,17000,642000,97000,146000,149000
2019-01-01,22000,55000,40000,124000,14000,645000,111000,149000,144000
2019-02-01,21000,60000,41000,125000,13000,674000,134000,154000,139000
2019-03-01,23000,78000,40000,141000,16000,785000,142000,182000,178000
2019-04-01,23000,82000,45000,136000,22000,823000,122000,199000,215000
2019-05-01,20000,79000,38000,144000,15000,820000,124000,177000,237000
2019-06-01,18000,91000,34000,150000,19000,807000,107000,153000,255000
2019-07-01,20000,93000,34000,136000,23000,843000,118000,166000,275000
2019-08-01,20000,90000,45000,131000,26000,808000,107000,175000,241000
2019-09-01,17000,88000,29000,140000,16000,770000,109000,152000,234000
2019-10-01,21000,94000,44000,140000,21000,803000,126000,165000,214000
2019-11-01,23000,59000,44000,135000,15000,730000,119000,174000,176000
2019-12-01,23000,65000,44000,134000,18000,700000,112000,156000,166000
2020-01-01,21000,55000,38000,120000,13000,616000,101000,132000,148000
2020-02-01,24000,59000,40000,124000,12000,638000,123000,136000,131000
2020-03-01,8000,28000,16000,65000,5000,277000,51000,55000,54000
2020-04-01,0,1000,0,9000,0,13000,1000,1000,1000
2020-05-01,1000,5000,1000,34000,0,51000,2000,5000,3000
