Date,Belgium,Germany,France,Netherlands,Overig Azië ,Total,UK,Other_Europe,Outside_Europe
2018-10-01,30000,165000,75000,254000,33000,1471000,224000,337000,386000
2018-11-01,30000,100000,69000,244000,24000,1286000,218000,334000,290000
2018-12-01,31000,110000,80000,216000,36000,1248000,198000,318000,296000
2019-01-01,34000,103000,75000,207000,28000,1259000,229000,324000,287000
2019-02-01,32000,112000,77000,213000,24000,1286000,269000,318000,265000
2019-03-01,37000,155000,74000,243000,32000,1544000,295000,396000,344000
2019-04-01,35000,165000,92000,254000,45000,1666000,253000,436000,431000
2019-05-01,30000,158000,75000,258000,30000,1637000,258000,383000,475000
2019-06-01,28000,182000,64000,267000,41000,1581000,218000,317000,505000
2019-07-01,32000,198000,67000,243000,51000,1733000,253000,375000,566000
2019-08-01,32000,201000,99000,249000,61000,1767000,246000,432000,509000
2019-09-01,26000,181000,53000,251000,34000,1521000,220000,322000,467000
2019-10-01,32000,191000,85000,242000,42000,1597000,260000,351000,435000
2019-11-01,35000,116000,85000,230000,31000,1409000,241000,363000,339000
2019-12-01,35000,128000,87000,228000,37000,1376000,228000,335000,335000
2020-01-01,33000,105000,71000,209000,26000,1220000,211000,288000,302000
2020-02-01,38000,120000,76000,224000,26000,1275000,257000,294000,265000
2020-03-01,12000,58000,30000,114000,11000,553000,109000,119000,111000
2020-04-01,0,1000,0,19000,0,30000,1000,5000,1000
2020-05-01,2000,8000,1000,56000,0,89000,4000,11000,6000
